"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"3000002C10Rik","3000002C10Rik","3000002C10Rik","","glyceraldehyde-3-phosphate dehydrogenase pseudogene","9","org.Mm.eg.db","3000002C10Rik",NA
"4-Sep","4-Sep","","",NA,NA,"org.Mm.eg.db","4-Sep",NA
"4432412D15Rik","4432412D15Rik","Tmed5","TMED5","transmembrane p24 trafficking protein 5","5","org.Mm.eg.db","4432412D15Rik","D3Z615;Q3V440;Q3U9T7;A2RS96;Q3TDS6;Q8VCE7;Q9CXE7"
"4631422C13Rik","4631422C13Rik","Cep192","CEP192","centrosomal protein 192","18","org.Mm.eg.db","4631422C13Rik","E9Q4Y4"
"4632413K17Rik","4632413K17Rik","Os9","OS9","amplified in osteosarcoma","10","org.Mm.eg.db","4632413K17Rik","Q8K2C7;Q922S5"
"4632417K18Rik","4632417K18Rik","Fam111a","FAM111A","family with sequence similarity 111, member A","19","org.Mm.eg.db","4632417K18Rik","D3YYD2;Q3UQF7;Q3T9N2;Q8BLH2;Q8CI07;Q8VE75;Q9CU11;Q9D2L9"
"4632419K20Rik","4632419K20Rik","Fhip1b","FHIP1B","FHF complex subunit HOOK interacting protein 1B","7","org.Mm.eg.db","4632419K20Rik","F8WHJ1;Q3TWF5;Q3U2I3;Q6P543;Q80T93;Q811J6;Q8BI34;Q8VE55;A0A1C7CYU5"
"4632428N05Rik","4632428N05Rik","Vsir","VSIR","V-set immunoregulatory receptor","10","org.Mm.eg.db","4632428N05Rik","A3RLQ7;E9PUF5;Q6KAT9;Q9D659;A0A171EBK7"
"4732415M23Rik","4732415M23Rik","Spata33","SPATA33","spermatogenesis associated 33","8","org.Mm.eg.db","4732415M23Rik","Q8C624;A0A1D5RLP4;A0A1D5RLV5"
"4732495E13Rik","4732495E13Rik","Tmem184b","TMEM184B","transmembrane protein 184b","15","org.Mm.eg.db","4732495E13Rik","Q3TY97;Q8BG09;Q8BJ02;A0A2I3BQI5;A0A2R8VI00"
"4732496O19Rik","4732496O19Rik","Magi3","MAGI3","membrane associated guanylate kinase, WW and PDZ domain containing 3","3","org.Mm.eg.db","4732496O19Rik","B0V3N7;B0V3N8;G5E8T6;Q69ZE1;Q8C0P8;Q9EQJ9"
"4832426G23Rik","4832426G23Rik","Myh8","MYH8","myosin, heavy polypeptide 8, skeletal muscle, perinatal","11","org.Mm.eg.db","4832426G23Rik","B2RWW8;P13542;Q5SX36"
"4833426H19Rik","4833426H19Rik","Pnpla5","PNPLA5","patatin-like phospholipase domain containing 5","15","org.Mm.eg.db","4833426H19Rik","Q32LZ8;Q9D603"
"4921508O11Rik","4921508O11Rik","Glipr1l2","GLIPR1L2","GLI pathogenesis-related 1 like 2","10","org.Mm.eg.db","4921508O11Rik","Q9CQ35;Q148R1;Q3TTM5"
"4921511D23Rik","4921511D23Rik","Spag16","SPAG16","sperm associated antigen 16","1","org.Mm.eg.db","4921511D23Rik","Q8K450;Q0VBE7;Q8C450;Q9CPU8;Q9D522"
"4921513O04","4921513O04","Gdpd4","GDPD4","glycerophosphodiester phosphodiesterase domain containing 4","7","org.Mm.eg.db","4921513O04","B2RU67;Q3TT99;Q8BI25"
"4921537P18Rik","4921537P18Rik","Ankrd69","","ankyrin repeat domain 69","8","org.Mm.eg.db","4921537P18Rik","A0A1B0GRY3;Q9D5D4;Q9D5M0;A5H0M4;Q9CUQ9;A0A1B0GS20"
"4930401A09Rik","4930401A09Rik","Ttc23l","TTC23L","tetratricopeptide repeat domain 23-like","15","org.Mm.eg.db","4930401A09Rik","A0A338P6B7;A3KMM7;A6H6E9;Q9D5Q3"
"4930412F15Rik","4930412F15Rik","Fam221b","FAM221B","family with sequence similarity 221, member B","4","org.Mm.eg.db","4930412F15Rik","Q0VD71;Q8BGP2;Q8C627"
"4930422J18Rik","4930422J18Rik","Spsb1","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1","4","org.Mm.eg.db","4930422J18Rik","Q5FWI0;Q8BJA4;Q9D5L7"
"4930428J16Rik","4930428J16Rik","Ptar1","PTAR1","protein prenyltransferase alpha subunit repeat containing 1","19","org.Mm.eg.db","4930428J16Rik","A0A494B9V8"
"4930430E16Rik","4930430E16Rik","Fam161a","FAM161A","family with sequence similarity 161, member A","11","org.Mm.eg.db","4930430E16Rik","A0A991D8A3;B1AVK0;Q8QZV6;A0A140LHD1;Q3V043"
"4930469P12Rik","4930469P12Rik","Etfrf1","ETFRF1","electron transfer flavoprotein regulatory factor 1","6","org.Mm.eg.db","4930469P12Rik","B2KFC1;Q675B1;Q8VDL7;Q91V16"
"4930542G03Rik","4930542G03Rik","Tubb4b","TUBB4B","tubulin, beta 4B class IVB","2","org.Mm.eg.db","4930542G03Rik","P68372;Q3TKF0;Q3U9U3;Q3UJ73;Q99JZ6"
"4930550B20Rik","4930550B20Rik","Usp45","USP45","ubiquitin specific petidase 45","4","org.Mm.eg.db","4930550B20Rik","Q8K387;A2AJT1;Q8BU19;Q8BZ19"
"4931406H21Rik","4931406H21Rik","4931406H21Rik","","RIKEN cDNA 4931406H21 gene","14","org.Mm.eg.db","4931406H21Rik",NA
"4931417E11Rik","4931417E11Rik","Jkampl","JKAMP","JNK1/MAPK8 associated membrane protein like","6","org.Mm.eg.db","4931417E11Rik","Q9CR05"
"4932409F11Rik","4932409F11Rik","Phf14","PHF14","PHD finger protein 14","6","org.Mm.eg.db","4932409F11Rik","Q810Z6;Q8C284;Q8CGF8;Q9D1Q8;Q9D4H9;G5E8S0"
"4932441K18","4932441K18","","",NA,NA,"org.Mm.eg.db","4932441K18",NA
"4933414G08","4933414G08","Spata21","SPATA21","spermatogenesis associated 21","4","org.Mm.eg.db","4933414G08","Q8BHW6"
"4933424A10Rik","4933424A10Rik","Map7d3","MAP7D3","MAP7 domain containing 3","X","org.Mm.eg.db","4933424A10Rik","A2AEY4;Q0VF65;Q8C7V9;Q8C857;Q8CDD4"
"4933428G20Rik","4933428G20Rik","4933428G20Rik","","RIKEN cDNA 4933428G20 gene","11","org.Mm.eg.db","4933428G20Rik",NA
"5330421F07Rik","5330421F07Rik","Nav2","NAV2","neuron navigator 2","7","org.Mm.eg.db","5330421F07Rik","V9GXT3;V9GX91"
"5330440M15Rik","5330440M15Rik","Gpbp1l1","GPBP1L1","GC-rich promoter binding protein 1-like 1","4","org.Mm.eg.db","5330440M15Rik","Q6NZP2;Q8BHW7;Q8BI03;Q8K2H8;Q9CTV6"
"5430407P10Rik","5430407P10Rik","Proser2","PROSER2","proline and serine rich 2","2","org.Mm.eg.db","5430407P10Rik","Q3V1L9;Q8C5R2;Q8R017;Q8R2Z9"
"5430416O09Rik","5430416O09Rik","Spaar","SPAAR","small regulatory polypeptide of amino acid response","4","org.Mm.eg.db","5430416O09Rik","A0A1B0GSZ0"
"5430425C04Rik","5430425C04Rik","Ano9","ANO9","anoctamin 9","7","org.Mm.eg.db","5430425C04Rik","P86044"
"5730454B08Rik","5730454B08Rik","Zc3h11a","ZC3H11A","zinc finger CCCH type containing 11A","1","org.Mm.eg.db","5730454B08Rik","Q3TIV2;Q3UL31;Q6NXW9;Q6NZF1;Q6PDR6;Q80TU7;Q8C5L5;Q99JN6"
"5730455A04Rik","5730455A04Rik","Glt1d1","GLT1D1","glycosyltransferase 1 domain containing 1","5","org.Mm.eg.db","5730455A04Rik","A4FUP9;Q8BWP4"
"5730455P16Rik","5730455P16Rik","5730455P16Rik","C17orf75","RIKEN cDNA 5730455P16 gene","11","org.Mm.eg.db","5730455P16Rik","A0PJK9;Q7TMQ9;Q9CYI0;Q3TUY5"
"5730493B19Rik","5730493B19Rik","5730493B19Rik","","RIKEN cDNA 5730493B19 gene",NA,"org.Mm.eg.db","5730493B19Rik",NA
"5730521P14Rik","5730521P14Rik","Ankrd26","ANKRD26","ankyrin repeat domain 26","6","org.Mm.eg.db","5730521P14Rik","D3Z482;Q69ZS2;Q811D2;Q9CS61"
"5730547N13Rik","5730547N13Rik","Oip5","OIP5","Opa interacting protein 5","2","org.Mm.eg.db","5730547N13Rik","A2AQ14;Q14AW4;Q14BH1"
"5830415L20Rik","5830415L20Rik","Fam133b","FAM133B","family with sequence similarity 133, member B","5","org.Mm.eg.db","5830415L20Rik","B2RVR0;Q78HY5;Q9CVI2"
"5830445C04Rik","5830445C04Rik","N6amt1","N6AMT1","N-6 adenine-specific DNA methyltransferase 1 (putative)","16","org.Mm.eg.db","5830445C04Rik","Q6PRU9;Q6SKR2;A0A4W7N3B2;D3Z6J0;E9PXT7;Q4KMV5"
"5830461H18Rik","5830461H18Rik","Rap2a","RAP2A","RAS related protein 2a","14","org.Mm.eg.db","5830461H18Rik","Q3USK1;Q7TSK4;Q80ZJ1;Q810A2;Q9D3D5"
"5830482G23Rik","5830482G23Rik","Las1l","LAS1L","LAS1-like (S. cerevisiae)","X","org.Mm.eg.db","5830482G23Rik","A2BE28;A2BE30;Q6KAR5;Q8C742"
"6230427J02Rik","6230427J02Rik","Inka1","INKA1","inka box actin regulator 1","9","org.Mm.eg.db","6230427J02Rik","Q08EG3;Q80WB2;Q8BPE9;Q9CX62"
"6330416L07Rik","6330416L07Rik","Zfp944","","zinc finger protein 944","17","org.Mm.eg.db","6330416L07Rik","E9PUS4"
"6430401A05Rik","6430401A05Rik","Tceal5","TCEAL5","transcription elongation factor A (SII)-like 5","X","org.Mm.eg.db","6430401A05Rik","Q14C38;Q497R6;Q8CCT4"
"6530403A03Rik","6530403A03Rik","Snrnp48","SNRNP48","small nuclear ribonucleoprotein 48 (U11/U12)","13","org.Mm.eg.db","6530403A03Rik","Q8BIU0;Q8BJ30;Q8CFF6;Q8VDQ5;Q9CSG3;Q9CVM5;Q9D361"
"7-Sep","7-Sep","","",NA,NA,"org.Mm.eg.db","7-Sep",NA
"9.13E+10","9.13E+10","","",NA,NA,"org.Mm.eg.db","9.13E+10",NA
"9030623C06Rik","9030623C06Rik","Krt20","KRT20","keratin 20","11","org.Mm.eg.db","9030623C06Rik","Q6PG82;Q9D312"
"9030625G08Rik","9030625G08Rik","Thap2","THAP2","THAP domain containing, apoptosis associated protein 2","10","org.Mm.eg.db","9030625G08Rik","Q9D305"
"9130009C22Rik","9130009C22Rik","Ifih1","IFIH1","interferon induced with helicase C domain 1","2","org.Mm.eg.db","9130009C22Rik","D2CGM5;A2AUY7;D2CGM4;Q3U6S2;Q68EM4;Q8BYC9;Q8BZ01;Q8K5C7;Q8R144;Q8R5F7;Q8VE79;Q99KS4;Q9D2Z5"
"9130017C17Rik","9130017C17Rik","Snx20","SNX20","sorting nexin 20","8","org.Mm.eg.db","9130017C17Rik","A0A0R4J0D0;Q3U0B6;Q544B6;Q8CHQ3;Q9D2Y5"
"9130209A04Rik","9130209A04Rik","9130209A04Rik","","RIKEN cDNA 9130209A04 gene","18","org.Mm.eg.db","9130209A04Rik",NA
"9130214H05Rik","9130214H05Rik","Slc17a4","SLC17A4","solute carrier family 17 (sodium phosphate), member 4","13","org.Mm.eg.db","9130214H05Rik","B9EJP0;Q5NCM1;A0A2C9F2D4"
"9230106F14Rik","9230106F14Rik","Abcb5","ABCB5","ATP-binding cassette, sub-family B member 5","12","org.Mm.eg.db","9230106F14Rik","B5X0E4;W5QLL5"
"9430093N24Rik","9430093N24Rik","Ccbe1","CCBE1","collagen and calcium binding EGF domains 1","18","org.Mm.eg.db","9430093N24Rik","A7MCU5;Q3MI99;Q5DTT5;Q8BFW1;Q8BMT1"
"9530008L14Rik","9530008L14Rik","Adtrp","ADTRP","androgen dependent TFPI regulating protein","13","org.Mm.eg.db","9530008L14Rik","D3Z6U0;Q3UXS3;Q8C138;Q8K180;A0A0R4J0W3"
"9530019H02Rik","9530019H02Rik","Rab35","RAB35","RAB35, member RAS oncogene family","5","org.Mm.eg.db","9530019H02Rik","Q3U0T9;Q6PHN9"
"9530058O11Rik","9530058O11Rik","Sgms1","SGMS1","sphingomyelin synthase 1","19","org.Mm.eg.db","9530058O11Rik","Q3UIS8;Q5J3R0;Q8C464;Q8C583;Q8C652;Q8VCQ6;A0A494BA77;E3W996"
"9630025I22Rik","9630025I22Rik","Mfsd6","MFSD6","major facilitator superfamily domain containing 6","1","org.Mm.eg.db","9630025I22Rik","D3Z183;Q8C8K4;Q8CBH5;Q8VIG4"
"9630050M13Rik","9630050M13Rik","Fam171a1","FAM171A1","family with sequence similarity 171, member A1","2","org.Mm.eg.db","9630050M13Rik","A2ATK9;A2ATL1;A2ATL0;A2ATK8"
"9930023K05Rik","9930023K05Rik","Plekhs1","PLEKHS1","pleckstrin homology domain containing, family S member 1","19","org.Mm.eg.db","9930023K05Rik","Q8BW88;E9QMW0;Q5EAT4;Q8BZ18;Q8R5A9"
"A130052D22","A130052D22","Taok3","TAOK3","TAO kinase 3","5","org.Mm.eg.db","A130052D22","B2RY27;Q3V3B3;Q8BYC6"
"A130081B01","A130081B01","Zfp781b","","zinc finger protein 781B","10","org.Mm.eg.db","A130081B01","Q0P5U5"
"A230046K03Rik","A230046K03Rik","Washc4","WASHC4","WASH complex subunit 4","10","org.Mm.eg.db","A230046K03Rik","Q3TTQ9;Q3UMB9;Q6ZPZ7;Q8CAK8;Q8CGK0"
"A230072C01Rik","A230072C01Rik","A230072C01Rik","","RIKEN cDNA A230072C01 gene","X","org.Mm.eg.db","A230072C01Rik",NA
"A530017F20","A530017F20","Gm2447","","predicted gene 2447","3","org.Mm.eg.db","A530017F20",NA
"A530024P18Rik","A530024P18Rik","Xirp2","XIRP2","xin actin-binding repeat containing 2","2","org.Mm.eg.db","A530024P18Rik","A0A5F8MPR4;A1ECA5;A2AVA2;B2BBR6;Q4U4S6;Q5S4P6;Q5S4P7;Q5S4P8;Q8BS23"
"A630056B21Rik","A630056B21Rik","Zfp574","ZNF574","zinc finger protein 574","7","org.Mm.eg.db","A630056B21Rik","Q3TDE5;Q3UNU1;Q8BKB5;Q8BY46"
"A730024F05Rik","A730024F05Rik","Tmx3","TMX3","thioredoxin-related transmembrane protein 3","18","org.Mm.eg.db","A730024F05Rik","Q3US84;Q6PGA1;Q6ZPH5;Q8BXZ1;Q8BZB8"
"A930008A22Rik","A930008A22Rik","Gramd1b","GRAMD1B","GRAM domain containing 1B","9","org.Mm.eg.db","A930008A22Rik","A0A1D5RLT6;D3YWR0;Q6NS56;Q80TI0;Q8BZZ1;Q9CTQ2;A0A1L1SQ42"
"A930014I12Rik","A930014I12Rik","Esco1","ESCO1","establishment of sister chromatid cohesion N-acetyltransferase 1","18","org.Mm.eg.db","A930014I12Rik","B9EKQ9;Q3ULS5;Q69Z69;Q8BQI2;Q8BR47;Q922F5;Q3UKT9"
"A930033C01Rik","A930033C01Rik","Rimbp2","RIMBP2","RIMS binding protein 2","5","org.Mm.eg.db","A930033C01Rik","B9EKT4;D3YXR8;E9QPF5;Q80U40;A0A0G2JFB0;A0A571BDA2;A0A0G2JGW5"
"Aard","Aard","Aard","AARD","alanine and arginine rich domain containing protein","15","org.Mm.eg.db","Aard","Q811W1;Q8BL45"
"AB041550","AB041550","Efcc1","EFCC1","EF hand and coiled-coil domain containing 1",NA,"org.Mm.eg.db","AB041550","Q9JJF6;A0A0A0MQ84;B9EIH1"
"Abcd2","Abcd2","Abcd2","ABCD2","ATP-binding cassette, sub-family D member 2","15","org.Mm.eg.db","Abcd2","Q3TU16;A0A0R4J0U5;Q61285;Q8BQ63;Q8C4B6"
"Abcg4","Abcg4","Abcg4","ABCG4","ATP binding cassette subfamily G member 4","9","org.Mm.eg.db","Abcg4","Q8BXW2;Q8K4E1;Q8VBS9;Q91WA9;Q8R1U5"
"Abcg5","Abcg5","Abcg5","ABCG5","ATP binding cassette subfamily G member 5","17","org.Mm.eg.db","Abcg5","Q540E8;Q7TSR8;Q99PE8"
"Abhd3","Abhd3","Abhd3","ABHD3","abhydrolase domain containing 3","18","org.Mm.eg.db","Abhd3","A0A452J888;Q3UNF7;Q91ZH7"
"Ace2","Ace2","Ace2","ACE2","angiotensin converting enzyme 2","X","org.Mm.eg.db","Ace2","C7ECU2;Q3URC9;Q8R0I0;Q99N70;Q99N71"
"Aco2","Aco2","Aco2","ACO2","aconitase 2, mitochondrial","15","org.Mm.eg.db","Aco2","Q3UDK9;Q3ULG9;Q3UNH7;Q505P4;Q99KI0"
"Actr6","Actr6","Actr6","ACTR6","ARP6 actin-related protein 6","10","org.Mm.eg.db","Actr6","A0A0R4J009"
"Acvrinp1","Acvrinp1","Magi2","MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2","5","org.Mm.eg.db","Acvrinp1","Q80TU0;Q3UH81;Q6GT88;Q8BYT1;Q8CA85;Q9WVQ1;A0A0G2JE00;A0A0G2JEG6;A0A140LHL1"
"Acyp2","Acyp2","Acyp2","ACYP2","acylphosphatase 2, muscle type","11","org.Mm.eg.db","Acyp2","P56375;Q5SPV7;Q8BQX2"
"Adh6a","Adh6a","Adh6a","","alcohol dehydrogenase 6A (class V)","3","org.Mm.eg.db","Adh6a","A1L3C0;E9Q5Z6"
"Adnp","Adnp","Adnp","ADNP","activity-dependent neuroprotective protein","2","org.Mm.eg.db","Adnp","A2BDX0;Q3UYC8;Q9Z103;Q5RKY4"
"Adrb1","Adrb1","Adrb1","ADRB1","adrenergic receptor, beta 1","19","org.Mm.eg.db","Adrb1","B2RVY4;P34971;Q9CRR2"
"AF119384","AF119384","Vamp5","VAMP5","vesicle-associated membrane protein 5",NA,"org.Mm.eg.db","AF119384","Q5M9K2;Q791P0;Q9Z2P8"
"AF366264","AF366264","","",NA,NA,"org.Mm.eg.db","AF366264",NA
"Afmid","Afmid","Afmid","AFMID","arylformamidase","11","org.Mm.eg.db","Afmid","B1AQL0;B1AQK9;Q80XP3;Q8K4H1;Q8R1K6"
"Agc1","Agc1","Acan","ACAN","aggrecan","7","org.Mm.eg.db","Agc1","E9QLS9;Q61282;Q64021"
"AI317395","AI317395","","",NA,NA,"org.Mm.eg.db","AI317395",NA
"AI450713","AI450713","","",NA,NA,"org.Mm.eg.db","AI450713",NA
"AI606181","AI606181","AI606181","","expressed sequence AI606181",NA,"org.Mm.eg.db","AI606181",NA
"AI648866","AI648866","","",NA,NA,"org.Mm.eg.db","AI648866",NA
"AI788959","AI788959","","",NA,NA,"org.Mm.eg.db","AI788959",NA
"AI987662","AI987662","","",NA,NA,"org.Mm.eg.db","AI987662",NA
"Aif1","Aif1","Aif1","AIF1","allograft inflammatory factor 1","17","org.Mm.eg.db","Aif1","A1E2H8;O70200;Q4FJL9;Q9EQW9"
"Ak1","Ak1","Ak1","AK1","adenylate kinase 1","2","org.Mm.eg.db","Ak1","A2AK80;Q542C5;Q9R0Y4;Q9R0Y5"
"Akr1b8","Akr1b8","Akr1b8","AKR1B10","aldo-keto reductase family 1, member B8","6","org.Mm.eg.db","Akr1b8","P45377;Q99JN4"
"Ampd1","Ampd1","Ampd1","AMPD1","adenosine monophosphate deaminase 1","3","org.Mm.eg.db","Ampd1","A0A0G2JFD4;F8VPY9;Q3V1D3"
"Ang2","Ang2","Angpt2;Ang2","ANGPT2","angiopoietin 2; angiogenin, ribonuclease A family, member 2","14","org.Mm.eg.db","Ang2","B9EHQ4;O35608;Q3U1A1;Q9D2D2;G5E8D0;Q64438;W0UV59"
"Ankrd1","Ankrd1","Ankrd1","ANKRD1","ankyrin repeat domain 1","19","org.Mm.eg.db","Ankrd1","A0A498WFQ0;O55014;Q3UIF7;Q3UJ39;Q792Q9;Q9CR42"
"Ankrd25","Ankrd25","Kank2","KANK2","KN motif and ankyrin repeat domains 2","9","org.Mm.eg.db","Ankrd25","Q8BLD5;Q8BX02;Q91Z35"
"Anpep","Anpep","Anpep","ANPEP","alanyl aminopeptidase, membrane","7","org.Mm.eg.db","Anpep","P97449;Q3UP74;Q91YH8;Q99K63"
"Ap1s2","Ap1s2","Ap1s2","AP1S2","adaptor-related protein complex 1, sigma 2 subunit","X","org.Mm.eg.db","Ap1s2","Q3TIV9;Q8BLQ6;B1B0F4;Q543R7;Q9DB50;Q8BW87"
"Ap2a2","Ap2a2","Ap2a2","AP2A2","adaptor-related protein complex 2, alpha 2 subunit","7","org.Mm.eg.db","Ap2a2","Q6PEE6;P17427;Q8C2J5;Q921V0"
"Ap2b1","Ap2b1","Ap2b1","AP2B1","adaptor-related protein complex 2, beta 1 subunit","11","org.Mm.eg.db","Ap2b1","H3BIY9;Q5SWR1;Q80XJ4;Q9DBG3"
"Apg4c","Apg4c","Atg4c","ATG4C","autophagy related 4C, cysteine peptidase","4","org.Mm.eg.db","Apg4c","B1ASJ9;Q3UYA5;Q6PD25;Q811C2"
"Aqr","Aqr","Aqr","AQR","aquarius","2","org.Mm.eg.db","Aqr","A2AQA7;P97871;Q3U9N1;Q3ULE8;Q80TX8;Q8CFQ3"
"Arsa","Arsa","Arsa","ARSA","arylsulfatase A","15","org.Mm.eg.db","Arsa","P50428;Q9DC66"
"Art3","Art3","Art3","ART3","ADP-ribosyltransferase 3","5","org.Mm.eg.db","Art3","B7ZNM3;E9QNU1;B2RUC2;O54738;Q8R2F9;Q8R2G0;Q8R2G1;Q8R2G2;Q8R2G3;Q8R2G4;A0A0R4J1Q4"
"Art4","Art4","Art4","ART4","ADP-ribosyltransferase 4","6","org.Mm.eg.db","Art4","Q80VB5;Q80W56;Q9CRA0"
"Asgr2","Asgr2","Asgr2","ASGR2","asialoglycoprotein receptor 2","11","org.Mm.eg.db","Asgr2","P24721;J3QMY0"
"Ash1l","Ash1l","Ash1l","ASH1L","ASH1 like histone lysine methyltransferase","3","org.Mm.eg.db","Ash1l","E9QNM2;Q3U598;Q80VY5;Q8BM69;Q8BTX0;Q8BZY6;Q99MY8"
"Atf7ip","Atf7ip","Atf7ip","ATF7IP","activating transcription factor 7 interacting protein","6","org.Mm.eg.db","Atf7ip","Q3TJ86;Q3TZW1;Q3UVK5;Q3UYZ7;Q7TT18;Q80ZK7;Q8C4A1;Q9JK31"
"Atp11c","Atp11c","Atp11c","ATP11C","ATPase, class VI, type 11C","X","org.Mm.eg.db","Atp11c","E9QKK8;F6Q8D3;Q3KQR4;Q9QZW0"
"Atp6v0a2","Atp6v0a2","Atp6v0a2","ATP6V0A2","ATPase, H+ transporting, lysosomal V0 subunit A2","5","org.Mm.eg.db","Atp6v0a2","A4FU82;P15920;Q3U2X3;Q8VHU0;Q9JHJ2"
"Atp6v1e1","Atp6v1e1","Atp6v1e1","ATP6V1E1","ATPase, H+ transporting, lysosomal V1 subunit E1","6","org.Mm.eg.db","Atp6v1e1","P50518;Q3UK59;Q8K5D6;Q99LD0"
"Atp6v1g3","Atp6v1g3","Atp6v1g3","ATP6V1G3","ATPase, H+ transporting, lysosomal V1 subunit G3","1","org.Mm.eg.db","Atp6v1g3","Q8BMC1"
"Avpr1a","Avpr1a","Avpr1a","AVPR1A","arginine vasopressin receptor 1A","10","org.Mm.eg.db","Avpr1a","Q3U1H9;Q3UEE1;Q62463;Q62464;Q9QYH2"
"AW047325","AW047325","","",NA,NA,"org.Mm.eg.db","AW047325",NA
"AW125753","AW125753","","",NA,NA,"org.Mm.eg.db","AW125753",NA
"AW260467","AW260467","","",NA,NA,"org.Mm.eg.db","AW260467",NA
"Azi2","Azi2","Azi2;Azin2","AZI2","5-azacytidine induced gene 2; antizyme inhibitor 2","9;4","org.Mm.eg.db","Azi2","Q9QYP6;Q3TIN1;Q3V3R2;Q9CUI5;A8Y5E7;A2A823;B2RSR5;Q8BVM4"
"B230303A05","B230303A05","B230303A05Rik","","U1 small nuclear ribonucleoprotein 1C pseudogene","13","org.Mm.eg.db","B230303A05",NA
"B230315F11Rik","B230315F11Rik","Slc25a40","SLC25A40","solute carrier family 25, member 40","5","org.Mm.eg.db","B230315F11Rik","Q3UVZ5;Q8BGP6;Q8BXT8"
"B230315M08Rik","B230315M08Rik","Cd300a","CD300A","CD300A molecule","11","org.Mm.eg.db","B230315M08Rik","Q6SJQ0;B9EIB1;Q7TN56;Q7TSN3;Q8CFN3"
"B230380D07Rik","B230380D07Rik","Mindy2","MINDY2","MINDY lysine 48 deubiquitinase 2","9","org.Mm.eg.db","B230380D07Rik","A0A1L1STF0;Q571N1;Q6NSV8;Q6PDI6;Q7TML6;Q8BK25;Q8BL22;Q8BL47;Q8BZC1"
"B4galt1","B4galt1","B4galt1","B4GALT1","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1","4","org.Mm.eg.db","B4galt1","B1AXY5;Q3TJS1;P15535;Q3U478"
"B4galt6","B4galt6","B4galt6","B4GALT6","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6","18","org.Mm.eg.db","B4galt6","Q3UUA9;Q3UUN1;Q9WVK5;Q3TPM8"
"B630005N14Rik","B630005N14Rik","Samtor","","S-adenosylmethionine sensor upstream of mTORC1","6","org.Mm.eg.db","B630005N14Rik","A6H608;Q8BXK4"
"Bak1","Bak1","Bak1","BAK1","BCL2-antagonist/killer 1","17","org.Mm.eg.db","Bak1","E9QM21;O08734;Q8C264"
"BB049667","BB049667","","",NA,NA,"org.Mm.eg.db","BB049667",NA
"Bbox1","Bbox1","Bbox1","BBOX1","gamma-butyrobetaine hydroxylase 1","2","org.Mm.eg.db","Bbox1","Q924Y0"
"BC003236","BC003236","Cttnbp2nl","CTTNBP2NL","CTTNBP2 N-terminal like",NA,"org.Mm.eg.db","BC003236","Q6ZPR0;Q8BSV1;Q922L8;Q99LJ0"
"BC004004","BC004004","BC004004","C6orf89","cDNA sequence BC004004","17","org.Mm.eg.db","BC004004","A0A3Q4L309;Q6PDQ4;Q7TSE2;Q7TSE4;Q8BST4;Q99KU6"
"BC004056","BC004056","","",NA,NA,"org.Mm.eg.db","BC004056",NA
"BC010552","BC010552","Slc44a3","SLC44A3","solute carrier family 44, member 3",NA,"org.Mm.eg.db","BC010552","G5E8A3;Q921V7"
"BC014805","BC014805","Slc22a26","","solute carrier family 22 (organic cation transporter), member 26",NA,"org.Mm.eg.db","BC014805","E9Q6M5;Q91WJ2"
"BC016235","BC016235","Hkdc1","HKDC1","hexokinase domain containing 1",NA,"org.Mm.eg.db","BC016235","Q3UKJ9;Q91W97"
"BC017647","BC017647","Fam222b","FAM222B","family with sequence similarity 222, member B",NA,"org.Mm.eg.db","BC017647","E9PXL0;Q3UV50;Q6P539;Q8VD11"
"BC019537","BC019537","Slc17a9","SLC17A9","solute carrier family 17, member 9",NA,"org.Mm.eg.db","BC019537","A2AJ51;Q8VCL5"
"BC019977","BC019977","Map7d1","MAP7D1","MAP7 domain containing 1",NA,"org.Mm.eg.db","BC019977","A2AJI1;A8Y5P4;A2AJI0;Q80TI3;Q8CIL3;Q8VCG2;Q91YQ4"
"BC022133","BC022133","Uroc1","UROC1","urocanase domain containing 1",NA,"org.Mm.eg.db","BC022133","Q3UEL5;E9QNN2;Q8VC12"
"BC022145","BC022145","Tmem106a","TMEM106A","transmembrane protein 106A",NA,"org.Mm.eg.db","BC022145","Q3U4J0;Q3U9D3;Q3UEA5;Q8CIC3;Q8VC04"
"BC022744","BC022744","Rtbdn","RTBDN","retbindin",NA,"org.Mm.eg.db","BC022744","Q6T898;Q8QZY4"
"BC022765","BC022765","Prr15l","PRR15L","proline rich 15-like",NA,"org.Mm.eg.db","BC022765","Q8C307;Q8JZM2"
"BC024988","BC024988","Galnt18","GALNT18","polypeptide N-acetylgalactosaminyltransferase 18",NA,"org.Mm.eg.db","BC024988","Q59J91;Q8K1B9"
"BC027057","BC027057","Tifab","TIFAB","TRAF-interacting protein with forkhead-associated domain, family member B",NA,"org.Mm.eg.db","BC027057","Q05DP7;Q571I3;Q8JZM6"
"BC027174","BC027174","Cep68","CEP68","centrosomal protein 68",NA,"org.Mm.eg.db","BC027174","Q3ULV4;Q3US49;Q5SW85;Q8C0D9;Q8R2V0"
