"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"SATB1","SATB1","SATB homeobox 1","protein_coding","3","18345378","5087","3p24.3"
"SBDS","SBDS","SBDS ribosome maturation factor","protein_coding","7","66987679","1605","7q11.21"
"SBF2","SBF2","SET binding factor 2","protein_coding","11","9778666","4974","11p15.4"
"SBNO1","SBNO1","strawberry notch homolog 1","protein_coding","12","123289108","5488","12q24.31"
"SBNO2","SBNO2","strawberry notch homolog 2","protein_coding","19_KI270865v1_alt","224","4217","19p13.3"
"SCAF1","SCAF1","SR-related CTD associated factor 1","protein_coding","19","49642208","4313","19q13.33"
"SCAF11","SCAF11","SR-related CTD associated factor 11","protein_coding","12","45919130","4618","12q12"
"SCAF4","SCAF4","SR-related CTD associated factor 4","protein_coding","21","31670999","3441","21q22.11"
"SCAF8","SCAF8","SR-related CTD associated factor 8","protein_coding","6","154733377","4378","6q25.2"
"SCAI","SCAI","suppressor of cancer cell invasion","protein_coding","9","124942608","12137","9q33.3"
"SCAMP1","SCAMP1","secretory carrier membrane protein 1","protein_coding","5","78360616","5920","5q14.1"
"SCAMP2","SCAMP2","secretory carrier membrane protein 2","protein_coding","15","74843729","1880","15q24.1"
"SCAMP3","SCAMP3","secretory carrier membrane protein 3","protein_coding","1_GL383519v1_alt","61003","1533","1q22"
"SCAMP4","SCAMP4","secretory carrier membrane protein 4","protein_coding","19","1905398","2319","19p13.3"
"SCAND1","SCAND1","SCAN domain containing 1","protein_coding","20","35953616","1136","20q11.23"
"SCAPER","SCAPER","S-phase cyclin A associated protein in the ER","protein_coding","15","76347903","3600","15q24.3"
"SCARB2","SCARB2","scavenger receptor class B member 2","protein_coding","4","76158738","4552","4q21.1"
"SCCPDH","SCCPDH","saccharopine dehydrogenase (putative)","protein_coding","1","246724408","2475","1q44"
"SCD","SCD","stearoyl-CoA desaturase","protein_coding","10","100347232","5468","10q24.31"
"SCFD1","SCFD1","sec1 family domain containing 1","protein_coding","14","30622318","2042","14q12"
"SCFD2","SCFD2","sec1 family domain containing 2","protein_coding","4","52872983","3106","4q12"
"SCLT1","SCLT1","sodium channel and clathrin linker 1","protein_coding","4","129036593","2349","4q28.2"
"SCLY","SCLY","selenocysteine lyase","protein_coding","2","238061000","2227","2q37.3"
"SCML2","SCML2","Scm polycomb group protein like 2","protein_coding","X","18239312","2711","Xp22.13"
"SCML4","SCML4","Scm polycomb group protein like 4","protein_coding","6","107702153","3746","6q21"
"SCNM1","SCNM1","sodium channel modifier 1","protein_coding","1","151166143","1782","1q21.3"
"SCO1","SCO1","synthesis of cytochrome C oxidase 1","protein_coding","17","10672473","1754","17p13.1"
"SCO2","SCO2","synthesis of cytochrome C oxidase 2","protein_coding","22","50523567","1024","22q13.33"
"SCOC","SCOC","short coiled-coil protein","protein_coding","4","140343442","1925","4q31.1"
"SCP2","SCP2","sterol carrier protein 2","protein_coding","1","52927275","2991","1p32.3"
"SCPEP1","SCPEP1","serine carboxypeptidase 1","protein_coding","17","56978130","1937","17q22"
"SCRIB","SCRIB","scribble planar cell polarity protein","protein_coding","8_KI270816v1_alt","267971","4187","8q24.3"
"SCRN2","SCRN2","secernin 2","protein_coding","17","47837691","1700","17q21.32"
"SCRN3","SCRN3","secernin 3","protein_coding","2","174395728","2430","2q31.1"
"SCUBE1","SCUBE1","signal peptide, CUB domain and EGF like domain containing 1","protein_coding","22","43197280","3096","22q13.2"
"SDAD1","SDAD1","SDA1 domain containing 1","protein_coding","4","75949905","3006","4q21.1"
"SDCBP","SDCBP","syndecan binding protein","protein_coding","8","58552923","2353","8q12.1"
"SDCCAG8","SDCCAG8","SHH signaling and ciliogenesis regulator SDCCAG8","protein_coding","1","243256004","2008","1q43-q44"
"SDE2","SDE2","SDE2 telomere maintenance homolog","protein_coding","1","225982701","4009","1q42.12"
"SDF2L1","SDF2L1","stromal cell derived factor 2 like 1","protein_coding","22","21642301","874","22q11.21"
"SDF4","SDF4","stromal cell derived factor 4","protein_coding","1","1216930","2125","1p36.33"
"SDHA","SDHA","succinate dehydrogenase complex flavoprotein subunit A","protein_coding","5","218319","2116","5p15.33"
"SDHAF2","SDHAF2","succinate dehydrogenase complex assembly factor 2","protein_coding","11","61430123","1219","11q12.2"
"SDHAF3","SDHAF3","succinate dehydrogenase complex assembly factor 3","protein_coding","7","97117697","2057","7q21.3"
"SDHAF4","SDHAF4","succinate dehydrogenase complex assembly factor 4","protein_coding","6","70566929","525","6q13"
"SDHB","SDHB","succinate dehydrogenase complex iron sulfur subunit B","protein_coding","1","17018725","1145","1p36.13"
"SDHC","SDHC","succinate dehydrogenase complex subunit C","protein_coding","1","161314380","2741","1q23.3"
"SDHD","SDHD","succinate dehydrogenase complex subunit D","protein_coding","11","112086872","1379","11q23.1"
"SDR39U1","SDR39U1","short chain dehydrogenase/reductase family 39U member 1","protein_coding","14","24439765","1186","14q12"
"SEC11A","SEC11A","SEC11 homolog A, signal peptidase complex subunit","protein_coding","15","84669536","1394","15q25.2-q25.3"
"SEC11C","SEC11C","SEC11 homolog C, signal peptidase complex subunit","protein_coding","18","59139883","1011","18q21.32"
"SEC13","SEC13","SEC13 homolog, nuclear pore and COPII coat complex component","protein_coding","3","10300930","1515","3p25.3"
"SEC14L1","SEC14L1","SEC14 like lipid binding 1","protein_coding","17","77088684","4172","17q25.2-q25.3"
"SEC14L2","SEC14L2","SEC14 like lipid binding 2","protein_coding","22","30397017","3294","22q12.2"
"SEC16A","SEC16A","SEC16 homolog A, endoplasmic reticulum export factor","protein_coding","9","136440104","4677","9q34.3"
"SEC22A","SEC22A","SEC22 homolog A, vesicle trafficking protein","protein_coding","3","123201942","3824","3q21.1"
"SEC22B","SEC22B","SEC22 homolog B, vesicle trafficking protein","protein_coding","1","120150897","1880","1p12"
"SEC23A","SEC23A","Sec23 homolog A, COPII coat complex component","protein_coding","14","39031918","3113","14q21.1"
"SEC23B","SEC23B","SEC23 homolog B, COPII coat complex component","protein_coding","20","18507939","3339","20p11.23"
"SEC23IP","SEC23IP","SEC23 interacting protein","protein_coding","10","119892729","6430","10q26.11-q26.12"
"SEC24A","SEC24A","SEC24 homolog A, COPII coat complex component","protein_coding","5","134648784","5170","5q31.1"
"SEC24B","SEC24B","SEC24 homolog B, COPII coat complex component","protein_coding","4","109433714","4621","4q25"
"SEC24C","SEC24C","SEC24 homolog C, COPII coat complex component","protein_coding","10","73744371","3122","10q22.2"
"SEC24D","SEC24D","SEC24 homolog D, COPII coat complex component","protein_coding","4","118722822","3230","4q26"
"SEC31A","SEC31A","SEC31 homolog A, COPII coat complex component","protein_coding","4","82818508","3756","4q21.22"
"SEC61A1","SEC61A1","SEC61 translocon subunit alpha 1","protein_coding","3","128052436","3367","3q21.3"
"SEC61B","SEC61B","SEC61 translocon subunit beta","protein_coding","9","99222281","562","9q22.33"
"SEC61G","SEC61G","SEC61 translocon subunit gamma","protein_coding","7","54752246","464","7p11.2"
"SEC62","SEC62","SEC62 homolog, preprotein translocation factor","protein_coding","3","169966806","3994","3q26.2"
"SEC63","SEC63","SEC63 homolog, protein translocation regulator","protein_coding","6","107867755","6146","6q21"
"SECISBP2","SECISBP2","SECIS binding protein 2","protein_coding","9","89318499","2786","9q22.2"
"SECISBP2L","SECISBP2L","SECIS binding protein 2 like","protein_coding","15","48988638","4550","15q21.1"
"SEH1L","SEH1L","SEH1 like nucleoporin","protein_coding","18","12947983","2695","18p11.21"
"SEL1L","SEL1L","SEL1L adaptor subunit of ERAD E3 ubiquitin ligase","protein_coding","14","81471546","4792","14q31.1"
"SELL","SELL","selectin L","protein_coding","1","169690666","1990","1q24.2"
"SELPLG","SELPLG","selectin P ligand","protein_coding","12","108621903","2451","12q24.11"
"SEMA4D","SEMA4D","semaphorin 4D","protein_coding","9","89360786","4042","9q22.2"
"SEMA7A","SEMA7A","semaphorin 7A (John Milton Hagen blood group)","protein_coding","15","74409283","3313","15q24.1"
"SENP1","SENP1","SUMO specific peptidase 1","protein_coding","12","48042896","4848","12q13.11"
"SENP3","SENP3","SUMO specific peptidase 3","protein_coding","17","7561918","2036","17p13.1"
"SENP5","SENP5","SUMO specific peptidase 5","protein_coding","3","196867855","6238","3q29"
"SENP6","SENP6","SUMO specific peptidase 6","protein_coding","6","75601508","4856","6q14.1"
"SENP7","SENP7","SUMO specific peptidase 7","protein_coding","3","101324204","4421","3q12.3"
"SENP8","SENP8","SUMO peptidase family member, NEDD8 specific","protein_coding","15","72118402","1690","15q23"
"SEPHS1","SEPHS1","selenophosphate synthetase 1","protein_coding","10","13317437","2894","10p13"
"SEPHS2","SEPHS2","selenophosphate synthetase 2","protein_coding","16","30443630","2273","16p11.2"
"SERAC1","SERAC1","serine active site containing 1","protein_coding","6","158109518","3804","6q25.3"
"SERBP1","SERBP1","SERPINE1 mRNA binding protein 1","protein_coding","1","67407809","6732","1p31.3"
"SERF2","SERF2","small EDRK-rich factor 2","protein_coding","15","43791975","2932","15q15.3"
"SERGEF","SERGEF","secretion regulating guanine nucleotide exchange factor","protein_coding","11","17788049","1373","11p15.1"
"SERINC1","SERINC1","serine incorporator 1","protein_coding","6","122443350","3128","6q22.31"
"SERINC3","SERINC3","serine incorporator 3","protein_coding","20","44496220","2433","20q13.12"
"SERPINA1","SERPINA1","serpin family A member 1","protein_coding","14","94376746","3219","14q32.13"
"SERPINA10","SERPINA10","serpin family A member 10","protein_coding","14","94283312","2286","14q32.13"
"SERPINA3","SERPINA3","serpin family A member 3","protein_coding","14","94612390","1780","14q32.13"
"SERPINA4","SERPINA4","serpin family A member 4","protein_coding","14","94561441","1801","14q32.13"
"SERPINA6","SERPINA6","serpin family A member 6","protein_coding","14","94304247","1566","14q32.13"
"SERPINB1","SERPINB1","serpin family B member 1","protein_coding","6","2832331","2705","6p25.2"
"SERPINB3","SERPINB3","serpin family B member 3","protein_coding","18","63655196","1557","18q21.33"
"SERPINB4","SERPINB4","serpin family B member 4","protein_coding","18","63637258","1658","18q21.33"
"SERPINB6","SERPINB6","serpin family B member 6","protein_coding","6","2948158","2173","6p25.2"
"SERPINB8","SERPINB8","serpin family B member 8","protein_coding","18","63970080","2339","18q22.1"
"SERPINB9","SERPINB9","serpin family B member 9","protein_coding","6","2887269","3002","6p25.2"
"SERPINC1","SERPINC1","serpin family C member 1","protein_coding","1","173903518","1599","1q25.1"
"SERPIND1","SERPIND1","serpin family D member 1","protein_coding","22","20774112","2231","22q11.21"
"SERPINE2","SERPINE2","serpin family E member 2","protein_coding","2","223975047","2344","2q36.1"
"SERPINF1","SERPINF1","serpin family F member 1","protein_coding","17","1771670","1533","17p13.3"
"SERPINF2","SERPINF2","serpin family F member 2","protein_coding","17","1742870","2213","17p13.3"
"SERPING1","SERPING1","serpin family G member 1","protein_coding","11","57597684","1790","11q12.1"
"SERPINH1","SERPINH1","serpin family H member 1","protein_coding","11","75562252","2374","11q13.5"
"SESN2","SESN2","sestrin 2","protein_coding","1","28259517","3528","1p35.3"
"SESN3","SESN3","sestrin 3","protein_coding","11","95165512","6744","11q21"
"SET","SET","SET nuclear proto-oncogene","protein_coding","9","128685071","2733","9q34.11"
"SETD1A","SETD1A","SET domain containing 1A, histone lysine methyltransferase","protein_coding","16","30957753","3746","16p11.2"
"SETD1B","SETD1B","SET domain containing 1B, histone lysine methyltransferase","protein_coding","12","121804008","6686","12q24.31"
"SETD2","SETD2","SET domain containing 2, histone lysine methyltransferase","protein_coding","3","47016435","5068","3p21.31"
"SETD3","SETD3","SET domain containing 3, actin histidine methyltransferase","protein_coding","14","99409803","2483","14q32.2"
"SETD7","SETD7","SET domain containing 7, histone lysine methyltransferase","protein_coding","4","139495934","4128","4q31.1"
"SETDB1","SETDB1","SET domain bifurcated histone lysine methyltransferase 1","protein_coding","1","150926362","3327","1q21.3"
"SETDB2","SETDB2","SET domain bifurcated histone lysine methyltransferase 2","protein_coding","13","49444273","3571","13q14.2"
"SETMAR","SETMAR","SET domain and mariner transposase fusion gene","protein_coding","3","4303303","1810","3p26.1"
"SETX","SETX","senataxin","protein_coding","9","132261355","10158","9q34.13"
"SF3A1","SF3A1","splicing factor 3a subunit 1","protein_coding","22","30331987","5022","22q12.2"
"SF3A2","SF3A2","splicing factor 3a subunit 2","protein_coding","19","2236823","1650","19p13.3"
"SF3A3","SF3A3","splicing factor 3a subunit 3","protein_coding","1","37956979","2756","1p34.3"
"SF3B1","SF3B1","splicing factor 3b subunit 1","protein_coding","2","197418796","1944","2q33.1"
"SF3B2","SF3B2","splicing factor 3b subunit 2","protein_coding","11","66052363","1649","11q13.1"
"SF3B3","SF3B3","splicing factor 3b subunit 3","protein_coding","16","70523815","9720","16q22.1"
"SF3B4","SF3B4","splicing factor 3b subunit 4","protein_coding","1","149923316","1754","1q21.2"
"SF3B5","SF3B5","splicing factor 3b subunit 5","protein_coding","6","144094883","737","6q24.2"
"SF3B6","SF3B6","splicing factor 3b subunit 6","protein_coding","2","24067585","712","2p23.3"
"SFI1","SFI1","SFI1 centrin binding protein","protein_coding","22","31496535","3329","22q12.2"
"SFMBT2","SFMBT2","Scm like with four mbt domains 2","protein_coding","10","7158623","6469","10p14"
"SFN","SFN","stratifin","protein_coding","1","26863148","1315","1p36.11"
"SFPQ","SFPQ","splicing factor proline and glutamine rich","protein_coding","1","35182935","3073","1p34.3"
"SFR1","SFR1","SWI5 dependent homologous recombination repair protein 1","protein_coding","10","104122107","1812","10q25.1"
"SFSWAP","SFSWAP","splicing factor SWAP","protein_coding","12","131711089","3486","12q24.33"
"SFT2D2","SFT2D2","SFT2 domain containing 2","protein_coding","1","168226003","856","1q24.2"
"SFT2D3","SFT2D3","SFT2 domain containing 3","protein_coding","2","127701496","2811","2q14.3"
"SFXN1","SFXN1","sideroflexin 1","protein_coding","5","175478559","2801","5q35.2"
"SFXN2","SFXN2","sideroflexin 2","protein_coding","10","102714517","2490","10q24.32"
"SFXN3","SFXN3","sideroflexin 3","protein_coding","10","101031238","2948","10q24.31"
"SFXN4","SFXN4","sideroflexin 4","protein_coding","10","119140766","1370","10q26.11"
"SGF29","SGF29","SAGA complex associated factor 29","protein_coding","16","28553919","1151","16p11.2"
"SGK3","SGK3","serum/glucocorticoid regulated kinase family member 3","protein_coding","8","66775204","4252","8q13.1"
"SGPL1","SGPL1","sphingosine-1-phosphate lyase 1","protein_coding","10","70815947","3779","10q22.1"
"SGPP1","SGPP1","sphingosine-1-phosphate phosphatase 1","protein_coding","14","63684215","3308","14q23.2"
"SGSH","SGSH","N-sulfoglucosamine sulfohydrolase","protein_coding","17","80209275","3170","17q25.3"
"SGTA","SGTA","small glutamine rich tetratricopeptide repeat containing alpha","protein_coding","19","2754714","2315","19p13.3"
"SGTB","SGTB","small glutamine rich tetratricopeptide repeat containing beta","protein_coding","5","65665927","5453","5q12.3"
"SH2D1A","SH2D1A","SH2 domain containing 1A","protein_coding","X","124346562","2392","Xq25"
"SH2D2A","SH2D2A","SH2 domain containing 2A","protein_coding","1","156807057","1577","1q23.1"
"SH2D3C","SH2D3C","SH2 domain containing 3C","protein_coding","9","127738316","2518","9q34.11"
"SH2D4A","SH2D4A","SH2 domain containing 4A","protein_coding","8","19313569","3221","8p21.3"
"SH3BGRL","SH3BGRL","SH3 domain binding glutamate rich protein like","protein_coding","X","81202101","2160","Xq21.1"
"SH3BGRL2","SH3BGRL2","SH3 domain binding glutamate rich protein like 2","protein_coding","6","79631328","4646","6q14.1"
"SH3BGRL3","SH3BGRL3","SH3 domain binding glutamate rich protein like 3","protein_coding","1","26280085","1115","1p36.11"
"SH3BP1","SH3BP1","SH3 domain binding protein 1","protein_coding","22","37639668","2904","22q13.1"
"SH3BP2","SH3BP2","SH3 domain binding protein 2","protein_coding","4","2793084","8072","4p16.3"
"SH3GL1","SH3GL1","SH3 domain containing GRB2 like 1, endophilin A2","protein_coding","19","4360369","2428","19p13.3"
"SH3GLB1","SH3GLB1","SH3 domain containing GRB2 like, endophilin B1","protein_coding","1","86704575","6379","1p22.3"
"SH3GLB2","SH3GLB2","SH3 domain containing GRB2 like, endophilin B2","protein_coding","9","129007792","2060","9q34.11"
"SH3KBP1","SH3KBP1","SH3 domain containing kinase binding protein 1","protein_coding","X","19533976","4036","Xp22.12"
"SHARPIN","SHARPIN","SHANK associated RH domain interactor","protein_coding","8","144098636","1754","8q24.3"
"SHBG","SHBG","sex hormone binding globulin","protein_coding","17","7630134","926","17p13.1"
"SHC1","SHC1","SHC adaptor protein 1","protein_coding","1","154962297","3506","1q21.3"
"SHC4","SHC4","SHC adaptor protein 4","protein_coding","15","48823740","4091","15q21.1"
"SHCBP1","SHCBP1","SHC binding and spindle associated 1","protein_coding","16","46578592","3232","16q11.2"
"SHKBP1","SHKBP1","SH3KBP1 binding protein 1","protein_coding","19","40576872","2085","19q13.2"
"SHMT1","SHMT1","serine hydroxymethyltransferase 1","protein_coding","17","18327859","2080","17p11.2"
"SHMT2","SHMT2","serine hydroxymethyltransferase 2","protein_coding","12","57230359","2151","12q13.3"
"SHOC2","SHOC2","SHOC2 leucine rich repeat scaffold protein","protein_coding","10","110919603","3696","10q25.2"
"SHPK","SHPK","sedoheptulokinase","protein_coding","17","3608239","3838","17p13.2"
"SHPRH","SHPRH","SNF2 histone linker PHD RING helicase","protein_coding","6","145884808","5560","6q24.3"
"SHQ1","SHQ1","SHQ1, H/ACA ribonucleoprotein assembly factor","protein_coding","3","72749276","2863","3p13"
"SIAE","SIAE","sialic acid acetylesterase","protein_coding","11","124633112","2759","11q24.2"
"SIGIRR","SIGIRR","single Ig and TIR domain containing","protein_coding","11","405715","1688","11p15.5"
"SIGMAR1","SIGMAR1","sigma non-opioid intracellular receptor 1","protein_coding","9","34634721","1547","9p13.3"
"SIK2","SIK2","salt inducible kinase 2","protein_coding","11","111602448","5678","11q23.1"
"SIK3","SIK3","SIK family kinase 3","protein_coding","11","116843409","4982","11q23.3"
"SIKE1","SIKE1","suppressor of IKBKE 1","protein_coding","1","114769483","5483","1p13.2"
"SIL1","SIL1","SIL1 nucleotide exchange factor","protein_coding","5","138946723","1402","5q31.2"
"SIMC1","SIMC1","SUMO interacting motifs containing 1","protein_coding","5","176238358","2282","5q35.2"
"SIN3A","SIN3A","SIN3 transcription regulator family member A","protein_coding","15","75369378","6056","15q24.2"
"SIN3B","SIN3B","SIN3 transcription regulator family member B","protein_coding","19","16829397","3833","19p13.11"
"SIPA1","SIPA1","signal-induced proliferation-associated 1","protein_coding","11","65640120","3467","11q13.1"
"SIPA1L1","SIPA1L1","signal induced proliferation associated 1 like 1","protein_coding","14","71586297","5081","14q24.2"
"SIPA1L2","SIPA1L2","signal induced proliferation associated 1 like 2","protein_coding","1","232397965","5084","1q42.2"
"SIRPG","SIRPG","signal regulatory protein gamma","protein_coding","20","1629151","1388","20p13"
"SIRT1","SIRT1","sirtuin 1","protein_coding","10","67884655","3722","10q21.3"
"SIRT2","SIRT2","sirtuin 2","protein_coding","19","38878559","2121","19q13.2"
"SIRT3","SIRT3","sirtuin 3","protein_coding","11","215029","2637","11p15.5"
"SIRT5","SIRT5","sirtuin 5","protein_coding","6","13574528","3948","6p23"
"SIRT6","SIRT6","sirtuin 6","protein_coding","19","4174108","1508","19p13.3"
"SIRT7","SIRT7","sirtuin 7","protein_coding","17","81911938","1731","17q25.3"
"SIT1","SIT1","signaling threshold regulating transmembrane adaptor 1","protein_coding","9","35649294","1279","9p13.3"
"SIVA1","SIVA1","SIVA1 apoptosis inducing factor","protein_coding","14","104753146","1706","14q32.33"
"SKA1","SKA1","spindle and kinetochore associated complex subunit 1","protein_coding","18_GL383567v1_alt","82852","2842","18q21.1"
"SKA3","SKA3","spindle and kinetochore associated complex subunit 3","protein_coding","13","21153594","2859","13q12.11"
"SKAP1","SKAP1","src kinase associated phosphoprotein 1","protein_coding","17","48133441","1572","17q21.32"
"SKAP2","SKAP2","src kinase associated phosphoprotein 2","protein_coding","7","26667061","3879","7p15.2"
"SKI","SKI","SKI proto-oncogene","protein_coding","1","2228318","5707","1p36.33-p36.32"
"SKIV2L","SKIV2L","Ski2 like RNA helicase","protein_coding","6_GL000255v2_alt","3215144","3932","6p21.33"
"SKP1","SKP1","S-phase kinase associated protein 1","protein_coding","5","134148934","2356","5q31.1"
"SLA2","SLA2","Src like adaptor 2","protein_coding","20","36612318","2529","20q11.23"
"SLAIN1","SLAIN1","SLAIN motif family member 1","protein_coding","13","77741218","2310","13q22.3"
"SLAIN2","SLAIN2","SLAIN motif family member 2","protein_coding","4","48341528","4223","4p11"
"SLAMF1","SLAMF1","signaling lymphocytic activation molecule family member 1","protein_coding","1","160608099","1978","1q23.3"
"SLAMF6","SLAMF6","SLAM family member 6","protein_coding","1","160485035","2199","1q23.2-q23.3"
"SLBP","SLBP","stem-loop binding protein","protein_coding","4","1692730","1646","4p16.3"
"SLC12A2","SLC12A2","solute carrier family 12 member 2","protein_coding","5","128083765","6063","5q23.3"
"SLC12A6","SLC12A6","solute carrier family 12 member 6","protein_coding","15","34229783","7338","15q14"
"SLC12A7","SLC12A7","solute carrier family 12 member 7","protein_coding","5_KI270792v1_alt","68892","5304","5p15.33"
"SLC12A9","SLC12A9","solute carrier family 12 member 9","protein_coding","7","100826868","3385","7q22.1"
"SLC15A4","SLC15A4","solute carrier family 15 member 4","protein_coding","12","128793193","2704","12q24.33"
"SLC16A1","SLC16A1","solute carrier family 16 member 1","protein_coding","1_KN196474v1_fix","2425","3831","1p13.2"
"SLC16A10","SLC16A10","solute carrier family 16 member 10","protein_coding","6","111087502","2104","6q21"
"SLC16A3","SLC16A3","solute carrier family 16 member 3","protein_coding","17","82235773","2316","17q25.3"
"SLC16A7","SLC16A7","solute carrier family 16 member 7","protein_coding","12","59689369","11919","12q14.1"
"SLC18A1","SLC18A1","solute carrier family 18 member A1","protein_coding","8","20144854","2850","8p21.3"
"SLC19A1","SLC19A1","solute carrier family 19 member 1","protein_coding","21","45512564","2456","21q22.3"
"SLC1A4","SLC1A4","solute carrier family 1 member 4","protein_coding","2","64988478","4709","2p14"
"SLC1A5","SLC1A5","solute carrier family 1 member 5","protein_coding","19","46774882","2142","19q13.32"
"SLC20A1","SLC20A1","solute carrier family 20 member 1","protein_coding","2","112645938","2623","2q14.1"
"SLC22A18","SLC22A18","solute carrier family 22 member 18","protein_coding","11","2899690","1540","11p15.4"
"SLC25A1","SLC25A1","solute carrier family 25 member 1","protein_coding","22","19175580","1581","22q11.21"
"SLC25A10","SLC25A10","solute carrier family 25 member 10","protein_coding","17","81712235","2020","17q25.3"
"SLC25A11","SLC25A11","solute carrier family 25 member 11","protein_coding","17","4937130","1903","17p13.2"
"SLC25A12","SLC25A12","solute carrier family 25 member 12","protein_coding","2","171783404","2974","2q31.1"
"SLC25A13","SLC25A13","solute carrier family 25 member 13","protein_coding","7","96120219","3152","7q21.3"
"SLC25A14","SLC25A14","solute carrier family 25 member 14","protein_coding","X","130339918","1666","Xq26.1"
"SLC25A15","SLC25A15","solute carrier family 25 member 15","protein_coding","13","40789610","3930","13q14.11"
"SLC25A17","SLC25A17","solute carrier family 25 member 17","protein_coding","22","40769629","2262","22q13.2"
"SLC25A19","SLC25A19","solute carrier family 25 member 19","protein_coding","17","75272979","1699","17q25.1"
"SLC25A20","SLC25A20","solute carrier family 25 member 20","protein_coding","3","48856925","1922","3p21.31"
"SLC25A22","SLC25A22","solute carrier family 25 member 22","protein_coding","11","790474","2338","11p15.5"
"SLC25A24","SLC25A24","solute carrier family 25 member 24","protein_coding","1_KV880763v1_alt","146185","3540","1p13.3"
"SLC25A25","SLC25A25","solute carrier family 25 member 25","protein_coding","9","128068199","3505","9q34.11"
"SLC25A3","SLC25A3","solute carrier family 25 member 3","protein_coding","12","98593685","1953","12q23.1"
"SLC25A32","SLC25A32","solute carrier family 25 member 32","protein_coding","8","103398637","3127","8q22.3"
"SLC25A33","SLC25A33","solute carrier family 25 member 33","protein_coding","1","9539464","1461","1p36.22"
"SLC25A36","SLC25A36","solute carrier family 25 member 36","protein_coding","3","140941835","4441","3q23"
"SLC25A37","SLC25A37","solute carrier family 25 member 37","protein_coding","8","23528955","2208","8p21.2"
"SLC25A4","SLC25A4","solute carrier family 25 member 4","protein_coding","4","185143265","4420","4q35.1"
"SLC25A40","SLC25A40","solute carrier family 25 member 40","protein_coding","7","87833567","3142","7q21.12"
"SLC25A42","SLC25A42","solute carrier family 25 member 42","protein_coding","19","19063993","2248","19p13.11"
"SLC25A44","SLC25A44","solute carrier family 25 member 44","protein_coding","1","156194103","3342","1q22"
"SLC25A46","SLC25A46","solute carrier family 25 member 46","protein_coding","5","110739006","2194","5q22.1"
"SLC25A5","SLC25A5","solute carrier family 25 member 5","protein_coding","X","119468443","1351","Xq24"
"SLC25A51","SLC25A51","solute carrier family 25 member 51","protein_coding","9","37877574","2941","9p13.2-p13.1"
"SLC25A52","SLC25A52","solute carrier family 25 member 52","protein_coding","18","31759585","1185","18q12.1"
"SLC25A6","SLC25A6","solute carrier family 25 member 6","protein_coding","X","1386151","1484","Xp22.32|Yp11.3"
"SLC27A1","SLC27A1","solute carrier family 27 member 1","protein_coding","19","17470523","3596","19p13.11"
"SLC27A2","SLC27A2","solute carrier family 27 member 2","protein_coding","15","50182195","2219","15q21.2"
"SLC27A4","SLC27A4","solute carrier family 27 member 4","protein_coding","9","128340526","2546","9q34.11"
"SLC29A1","SLC29A1","solute carrier family 29 member 1 (Augustine blood group)","protein_coding","6","44219614","1750","6p21.1"
"SLC2A1","SLC2A1","solute carrier family 2 member 1","protein_coding","1","42925354","3670","1p34.2"
"SLC2A3","SLC2A3","solute carrier family 2 member 3","protein_coding","12","7919229","3938","12p13.31"
"SLC30A1","SLC30A1","solute carrier family 30 member 1","protein_coding","1","211571567","2018","1q32.3"
"SLC30A5","SLC30A5","solute carrier family 30 member 5","protein_coding","5","69094013","2453","5q13.1-q13.2"
"SLC30A6","SLC30A6","solute carrier family 30 member 6","protein_coding","2","32165863","4772","2p22.3"
"SLC30A7","SLC30A7","solute carrier family 30 member 7","protein_coding","1","100896089","8058","1p21.2"
"SLC30A9","SLC30A9","solute carrier family 30 member 9","protein_coding","4","41990529","3320","4p13"
"SLC33A1","SLC33A1","solute carrier family 33 member 1","protein_coding","3","155821024","3129","3q25.31"
"SLC35B2","SLC35B2","solute carrier family 35 member B2","protein_coding","6","44254100","1872","6p21.1"
"SLC35D1","SLC35D1","solute carrier family 35 member D1","protein_coding","1","66999349","4104","1p31.3"
"SLC35E1","SLC35E1","solute carrier family 35 member E1","protein_coding","19","16549836","3586","19p13.11"
"SLC35F2","SLC35F2","solute carrier family 35 member F2","protein_coding","11","107790990","3133","11q22.3"
"SLC35F6","SLC35F6","solute carrier family 35 member F6","protein_coding","2","26764283","3762","2p23.3"
"SLC37A4","SLC37A4","solute carrier family 37 member 4","protein_coding","11","119024350","2245","11q23.3"
"SLC38A1","SLC38A1","solute carrier family 38 member 1","protein_coding","12","46183062","6486","12q13.11"
"SLC38A10","SLC38A10","solute carrier family 38 member 10","protein_coding","17","81250870","3465","17q25.3"
"SLC38A2","SLC38A2","solute carrier family 38 member 2","protein_coding","12","46358187","4550","12q13.11"
"SLC38A5","SLC38A5","solute carrier family 38 member 5","protein_coding","X","48458543","2044","Xp11.23"
"SLC39A1","SLC39A1","solute carrier family 39 member 1","protein_coding","1","153959098","2318","1q21.3"
"SLC39A11","SLC39A11","solute carrier family 39 member 11","protein_coding","17","72645948","2772","17q24.3-q25.1"
"SLC39A14","SLC39A14","solute carrier family 39 member 14","protein_coding","8","22367537","3965","8p21.3"
"SLC39A7","SLC39A7","solute carrier family 39 member 7","protein_coding","6_GL000251v2_alt","4612371","2157","6p21.32"
"SLC3A2","SLC3A2","solute carrier family 3 member 2","protein_coding","11","62856108","1805","11q12.3"
